PLAY ID,SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link,DOWNLOADED
hoop_cut_1,2014-15,167,Evan Turner,DREB,Turner REBOUND (Off:0 Def:2),BOS @ BKN,BOS,BKN,"Wednesday, January 7",3,https://videos.nba.com/nba/pbp/media/2014/12/23/0021400418/412/07ed4d94-7e38-9390-82fd-32452a1917cd_1280x720.mp4,False
hoop_cut_2,2014-15,55,Jamal Crawford,DREB,Crawford REBOUND (Off:0 Def:4),LAC @ ATL,LAC,ATL,"Tuesday, December 23",4,https://videos.nba.com/nba/pbp/media/2014/12/23/0021400420/507/5556161a-5f6a-b802-b618-057f85c8a162_1280x720.mp4,False
hoop_cut_3,2014-15,176,P.J. Tucker,DREB,Tucker REBOUND (Off:1 Def:4),LAL @ PHX,LAL,PHX,"Monday, January 19",4,https://videos.nba.com/nba/pbp/media/2015/01/19/0021400622/538/97f75b16-51a4-3f1b-d88b-ce125eb619d0_1280x720.mp4,False
hoop_cut_4,2014-15,58,Lou Williams,DREB,Williams REBOUND (Off:0 Def:1),TOR @ MIN,TOR,MIN,"Wednesday, April 1",2,https://videos.nba.com/nba/pbp/media/2015/04/01/0021401119/137/0aea29e8-fa5e-a1d6-b3f5-8cdf2accacae_1280x720.mp4,False
hoop_cut_5,2014-15,90,Deron Williams,DREB,D. Williams REBOUND (Off:0 Def:3),CHI @ BKN,CHI,BKN,"Monday, April 13",4,https://videos.nba.com/nba/pbp/media/2015/04/13/0021401206/383/b89bca0c-cf54-5082-4a4e-6090a0f463d3_1280x720.mp4,False
hoop_cut_6,2014-15,3,Kevin Durant,DREB,Durant REBOUND (Off:1 Def:4),OKC @ MIA,OKC,MIA,"Tuesday, January 20",2,https://videos.nba.com/nba/pbp/media/2015/01/20/0021400623/273/a2b39f8a-17df-4219-e08d-afb03e23e143_1280x720.mp4,False
hoop_cut_7,2014-15,143,Taj Gibson,DREB,Gibson REBOUND (Off:0 Def:3),CHI @ MIA,CHI,MIA,"Thursday, April 9",2,https://videos.nba.com/nba/pbp/media/2015/04/09/0021401173/163/53d7c833-8180-b146-df26-89c04f6e653f_1280x720.mp4,False
hoop_cut_8,2014-15,78,Tim Duncan,DREB,Duncan REBOUND (Off:1 Def:1),SAS @ BKN,SAS,BKN,"Wednesday, December 3",1,https://videos.nba.com/nba/pbp/media/2014/12/03/0021400266/20/68960b65-7f08-fe01-c88b-0e1cd0c50884_1280x720.mp4,False
hoop_cut_9,2014-15,27,Kyle Lowry,DREB,Lowry REBOUND (Off:0 Def:1),TOR @ ATL,TOR,ATL,"Friday, February 20",3,https://videos.nba.com/nba/pbp/media/2015/02/20/0021400805/293/e14709ac-0804-ca0e-7ff1-b5bfe33b0eb0_1280x720.mp4,False
hoop_cut_10,2014-15,28,Derrick Rose,DREB,Rose REBOUND (Off:0 Def:5),PHI @ CHI,PHI,CHI,"Saturday, April 11",3,https://videos.nba.com/nba/pbp/media/2015/04/11/0021401189/362/b174020f-798c-7412-7b29-d6244f4f59b3_1280x720.mp4,False
hoop_cut_11,2014-15,248,Jusuf Nurkić,DREB,Nurkic REBOUND (Off:2 Def:7),DAL @ DEN,DAL,DEN,"Wednesday, January 14",4,https://videos.nba.com/nba/pbp/media/2015/01/14/0021400581/491/e4c54ecc-18da-504e-e76e-12d5e506e694_1280x720.mp4,False
hoop_cut_12,2014-15,204,Lance Stephenson,DREB,Stephenson REBOUND (Off:0 Def:2),CHA @ DEN,CHA,DEN,"Saturday, January 31",2,https://videos.nba.com/nba/pbp/media/2015/01/19/0021400611/153/1215515e-881a-1b56-d0c6-47e61778e912_1280x720.mp4,False
hoop_cut_13,2014-15,18,DeMar DeRozan,DREB,DeRozan REBOUND (Off:0 Def:1),MIL @ TOR,MIL,TOR,"Monday, February 2",1,https://videos.nba.com/nba/pbp/media/2015/02/02/0021400721/60/d43c2925-7696-de94-87a7-2abc213b2f7e_1280x720.mp4,False
hoop_cut_14,2014-15,246,Patty Mills,DREB,Mills REBOUND (Off:0 Def:1),PHX @ SAS,PHX,SAS,"Friday, January 9",1,https://videos.nba.com/nba/pbp/media/2014/12/31/0021400481/63/f2ccfc7e-a975-b97d-9d2e-ac652dcbd837_1280x720.mp4,False
hoop_cut_15,2014-15,83,Robert Covington,DREB,Covington REBOUND (Off:0 Def:5),PHI @ BKN,PHI,BKN,"Friday, December 12",3,https://videos.nba.com/nba/pbp/media/2014/12/12/0021400332/248/607324cb-cce0-4735-68c6-b321c5ae5fcc_1280x720.mp4,False
hoop_cut_16,2014-15,160,Wesley Johnson,DREB,W. Johnson REBOUND (Off:0 Def:9),DEN @ LAL,DEN,LAL,"Sunday, November 23",4,https://videos.nba.com/nba/pbp/media/2014/11/23/0021400197/174/554bdefe-ccfc-84b5-da16-c16dce26b9df_1280x720.mp4,False
hoop_cut_17,2014-15,140,Marcus Morris Sr.,DREB,Morris Sr. REBOUND (Off:0 Def:6),PHX @ LAL,PHX,LAL,"Tuesday, November 4",4,https://videos.nba.com/nba/pbp/media/2014/11/01/0021400037/338/66cbca3c-ccad-fd73-f6f7-b40401f1f3de_1280x720.mp4,False
hoop_cut_18,2014-15,155,Matt Barnes,DREB,Barnes REBOUND (Off:0 Def:2),OKC @ LAC,OKC,LAC,"Thursday, October 30",2,https://videos.nba.com/nba/pbp/media/2014/10/30/0021400020/221/7fee345d-b5ba-529a-94c4-e5e9c1ab2ffd_1280x720.mp4,False
hoop_cut_19,2014-15,190,Randy Foye,DREB,Foye REBOUND (Off:0 Def:2),UTA @ DEN,UTA,DEN,"Friday, March 27",1,https://videos.nba.com/nba/pbp/media/2015/03/27/0021401085/43/e70a2a28-2a3a-bcfb-ff77-12371a90e747_1280x720.mp4,False
hoop_cut_20,2014-15,39,Paul Millsap,DREB,Millsap REBOUND (Off:1 Def:1),ATL @ MIL,ATL,MIL,"Sunday, February 22",1,https://videos.nba.com/nba/pbp/media/2015/02/22/0021400822/42/68c2fb17-e686-9c85-b05b-36b458c68c24_1280x720.mp4,False
hoop_cut_21,2014-15,219,Steven Adams,DREB,Adams REBOUND (Off:0 Def:4),OKC @ SAC,OKC,SAC,"Tuesday, December 16",2,https://videos.nba.com/nba/pbp/media/2014/10/30/0021400020/535/feb3a0e8-601b-a022-c1d8-8631d095499e_1280x720.mp4,False
