SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:1),OREB,NOP @ HOU,NOP,HOU,"Wednesday, October 17",1,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800009/56/c6fbb7f2-f297-9c18-4c47-0178c095cfc0_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:2 Def:1),OREB,NOP @ HOU,NOP,HOU,"Wednesday, October 17",1,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800009/96/107c3080-530e-69a8-f908-a2fcd3939eb2_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,HOU @ LAL,HOU,LAL,"Saturday, October 20",2,https://videos.nba.com/nba/pbp/media/2018/10/20/0021800035/346/30184bd4-40c0-be55-fb96-307af8d12111_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,UTA @ HOU,UTA,HOU,"Wednesday, October 24",3,https://videos.nba.com/nba/pbp/media/2018/10/24/0021800057/368/02a6deb1-0ebc-02d6-424e-3c2b51816114_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,HOU @ OKC,HOU,OKC,"Thursday, November 8",2,https://videos.nba.com/nba/pbp/media/2018/11/08/0021800163/183/3c5f99a8-4c18-61cd-417b-be4b3e62d232_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,HOU @ DEN,HOU,DEN,"Tuesday, November 13",2,https://videos.nba.com/nba/pbp/media/2018/11/13/0021800200/281/dbed1397-ab89-a8f6-d64f-f205bb7a9430_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,DET @ HOU,DET,HOU,"Wednesday, November 21",3,https://videos.nba.com/nba/pbp/media/2018/11/21/0021800258/320/3a1adac5-e86f-52bd-f91b-ad0450729c2f_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:1),OREB,HOU @ DET,HOU,DET,"Friday, November 23",4,https://videos.nba.com/nba/pbp/media/2018/11/23/0021800267/625/8906a48b-2807-3517-c1d5-c82b8e8ec04b_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,HOU @ CLE,HOU,CLE,"Saturday, November 24",3,https://videos.nba.com/nba/pbp/media/2018/11/24/0021800279/405/e3bda87a-6bdb-13d9-68ac-3ae9d33c45c2_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:6),OREB,HOU @ WAS,HOU,WAS,"Monday, November 26",5,https://videos.nba.com/nba/pbp/media/2018/11/26/0021800296/730/674f3282-52d3-9c23-6f6a-7e0de8963872_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:8),OREB,DAL @ HOU,DAL,HOU,"Wednesday, November 28",3,https://videos.nba.com/nba/pbp/media/2018/11/28/0021800309/420/80f83a22-438f-9702-9b52-b13c364a84d3_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:6),OREB,HOU @ SAS,HOU,SAS,"Friday, November 30",3,https://videos.nba.com/nba/pbp/media/2018/11/30/0021800326/451/c46d5fda-175f-2fd4-8ad1-ac4042af4966_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:5),OREB,HOU @ UTA,HOU,UTA,"Thursday, December 6",3,https://videos.nba.com/nba/pbp/media/2018/12/06/0021800367/465/49a9e9ad-ae3b-ad6d-5439-2fc35a45a0ea_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:1),OREB,LAL @ HOU,LAL,HOU,"Thursday, December 13",1,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800416/61/3e834db2-81bb-4427-0715-0ab7300a008f_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:2 Def:3),OREB,LAL @ HOU,LAL,HOU,"Thursday, December 13",1,https://videos.nba.com/nba/pbp/media/2018/12/13/0021800416/142/0b56d9ac-11d9-9ca6-6c86-f9b53a610373_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,HOU @ MIA,HOU,MIA,"Thursday, December 20",1,https://videos.nba.com/nba/pbp/media/2018/12/20/0021800467/116/a5f1ab07-1237-526e-9579-cb28efaf1d4e_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,SAS @ HOU,SAS,HOU,"Saturday, December 22",1,https://videos.nba.com/nba/pbp/media/2018/12/22/0021800483/31/77ca7a8a-c7de-186e-e504-aa73aa57af50_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:2 Def:2),OREB,SAS @ HOU,SAS,HOU,"Saturday, December 22",4,https://videos.nba.com/nba/pbp/media/2018/12/22/0021800483/554/5a5f1d6e-a1e5-a98e-623d-2a040683d96a_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,OKC @ HOU,OKC,HOU,"Tuesday, December 25",2,https://videos.nba.com/nba/pbp/media/2018/12/25/0021800498/273/01476987-5091-8a82-bc36-c795eec9ad5c_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:2 Def:2),OREB,OKC @ HOU,OKC,HOU,"Tuesday, December 25",3,https://videos.nba.com/nba/pbp/media/2018/12/25/0021800498/424/5e997337-24aa-7178-af16-1e2090988f1c_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:1 Def:1),OREB,HOU @ NOP,HOU,NOP,"Saturday, December 29",1,https://videos.nba.com/nba/pbp/media/2018/12/29/0021800528/40/88febe2c-99c7-e48d-956c-f5d4dcb67726_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:2 Def:2),OREB,HOU @ NOP,HOU,NOP,"Saturday, December 29",1,https://videos.nba.com/nba/pbp/media/2018/12/29/0021800528/121/ce754556-972b-e0e0-7f59-bcd05a8f2e9f_1280x720.mp4
2018-19,1,James Harden,Harden REBOUND (Off:3 Def:2),OREB,HOU @ NOP,HOU,NOP,"Saturday, December 29",1,https://videos.nba.com/nba/pbp/media/2018/12/29/0021800528/123/64978e38-27d5-c852-c87d-baa059a2edb6_1280x720.mp4
