, ,PLAYER,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
0,,Joel Embiid,MISS Thompson 3' Putback Layup,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/77/6d709c1a-9879-36af-08f9-5f55f65f2fee_1280x720.mp4
1,,Joel Embiid,MISS Cunningham 3' Driving Layup,PHI @ DET,PHI,DET,"Friday, November 10",3,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/401/4979cc6c-4a6c-7aa0-bf5a-6a8f1cbb4e05_1280x720.mp4
2,,Joel Embiid,Embiid BLOCK (1 BLK),CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/157/5c157dc7-0f47-9aa1-cbc9-28e588ea0674_1280x720.mp4
3,,Joel Embiid,Embiid BLOCK (2 BLK),CLE @ PHI,CLE,PHI,"Tuesday, November 21",3,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/348/04be4bb6-f86e-3d32-2723-ef4f38d7722e_1280x720.mp4
4,,Joel Embiid,Embiid BLOCK (3 BLK),CLE @ PHI,CLE,PHI,"Tuesday, November 21",3,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/419/8426244d-073a-e857-a32a-d4a0eb18c246_1280x720.mp4
5,,Joel Embiid,Embiid BLOCK (4 BLK),CLE @ PHI,CLE,PHI,"Tuesday, November 21",4,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/580/70c9a9c3-8e8d-19d2-9de1-1db70ed142f1_1280x720.mp4
6,,Joel Embiid,Embiid BLOCK (5 BLK),CLE @ PHI,CLE,PHI,"Tuesday, November 21",4,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/595/b67f3f42-5c21-852f-5973-ff5305371d6a_1280x720.mp4
7,,Joel Embiid,MISS G. Antetokounmpo 3' Driving Layup,PHI @ MIL,PHI,MIL,"Thursday, October 26",4,https://videos.nba.com/nba/pbp/media/2023/10/26/0022300075/587/69b082ef-ba02-0962-6060-a0e1e0397890_1280x720.mp4
8,,Joel Embiid,MISS Poeltl 2' Driving Hook Shot,PHI @ TOR,PHI,TOR,"Saturday, October 28",1,https://videos.nba.com/nba/pbp/media/2023/10/28/0022300092/10/77426ebb-8390-b030-3b9c-c1dcbd292ea3_1280x720.mp4
9,,Joel Embiid,MISS Barnes 2' Driving Layup,PHI @ TOR,PHI,TOR,"Saturday, October 28",4,https://videos.nba.com/nba/pbp/media/2023/10/28/0022300092/603/998b64ae-43e5-7a11-72ce-c7023eff6977_1280x720.mp4
10,,Joel Embiid,Embiid BLOCK (1 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",1,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/20/cacec782-bacf-598c-2aeb-38ea01bdd098_1280x720.mp4
11,,Joel Embiid,Embiid BLOCK (2 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",1,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/45/f6d3d742-ef86-7033-12ee-191f68c2a436_1280x720.mp4
12,,Joel Embiid,Embiid BLOCK (3 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",1,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/128/a708eb2f-e470-635a-d726-90233bbecb4d_1280x720.mp4
13,,Joel Embiid,Embiid BLOCK (5 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/354/1b432f98-8fee-c7a9-b635-dc3e57250cac_1280x720.mp4
14,,Joel Embiid,Embiid BLOCK (4 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/358/fd154f32-d0a7-7f7a-8f81-e8a8e1c48482_1280x720.mp4
15,,Joel Embiid,Embiid BLOCK (6 BLK),POR @ PHI,POR,PHI,"Sunday, October 29",3,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/432/be115506-1aad-3d04-54b3-80c0e5bc1a72_1280x720.mp4
16,,Joel Embiid,Embiid BLOCK (1 BLK),TOR @ PHI,TOR,PHI,"Thursday, November 2",3,https://videos.nba.com/nba/pbp/media/2023/11/02/0022300128/362/ebf771ad-8228-c723-13c7-8313d548a323_1280x720.mp4
17,,Joel Embiid,Embiid BLOCK (1 BLK),PHX @ PHI,PHX,PHI,"Saturday, November 4",2,https://videos.nba.com/nba/pbp/media/2023/11/04/0022300132/349/2e6b3684-e389-3b1e-1f25-5dc9048c5da8_1280x720.mp4
18,,Joel Embiid,Embiid BLOCK (1 BLK),WAS @ PHI,WAS,PHI,"Monday, November 6",3,https://videos.nba.com/nba/pbp/media/2023/11/06/0022300148/475/ee49c923-1918-293d-53a7-67cd7e837de2_1280x720.mp4
19,,Joel Embiid,Embiid BLOCK (1 BLK),BOS @ PHI,BOS,PHI,"Wednesday, November 8",2,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300159/289/a36ed3ed-304a-e979-f96e-465492e36b18_1280x720.mp4
20,,Joel Embiid,Embiid BLOCK (2 BLK),BOS @ PHI,BOS,PHI,"Wednesday, November 8",2,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300159/322/223dbf38-dea7-8066-9758-eeb567febd4d_1280x720.mp4
21,,Joel Embiid,Embiid BLOCK (3 BLK),BOS @ PHI,BOS,PHI,"Wednesday, November 8",3,https://videos.nba.com/nba/pbp/media/2023/11/08/0022300159/450/d826042c-2e4a-ab44-04fd-5ba6eedc3e6b_1280x720.mp4
