SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:3 Def:1),GSW @ BKN,GSW,BKN,"Tuesday, December 22",3,https://videos.nba.com/nba/pbp/media/2020/12/22/0022000001/451/6a1f3fa3-9672-da0b-4ecc-797edfda6c3e_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:1),GSW @ MIL,GSW,MIL,"Friday, December 25",1,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/11/e4fc2048-284b-c423-7cbd-bb13ac726657_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:2),GSW @ MIL,GSW,MIL,"Friday, December 25",1,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/155/1ecf2746-7d9a-037f-8e5d-b31cecbc8b46_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:3),GSW @ MIL,GSW,MIL,"Friday, December 25",3,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/419/8a24c5e8-fd0a-5655-36bb-5dd5ffcdbaae_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:4),GSW @ MIL,GSW,MIL,"Friday, December 25",3,https://videos.nba.com/nba/pbp/media/2020/12/25/0022000006/461/99c6be22-9fcb-3b2d-28c9-81deeb16b79d_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:1),GSW @ CHI,GSW,CHI,"Sunday, December 27",3,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000038/526/009db1b4-d495-f4de-e32f-74c20f8af362_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:2),GSW @ CHI,GSW,CHI,"Sunday, December 27",4,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000038/725/ae4c7b1a-de24-105c-21b1-57a5ba1ce23d_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:1),GSW @ DET,GSW,DET,"Tuesday, December 29",1,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000047/158/6ffcbec6-ca94-e3d6-5997-66a97d6a49c8_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:2),GSW @ DET,GSW,DET,"Tuesday, December 29",2,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000047/315/8279b0f9-f16d-0de0-6410-c16c184f03ad_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:3),GSW @ DET,GSW,DET,"Tuesday, December 29",3,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000047/390/c355b116-de2a-24d6-22ad-b6de3e93d21c_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:4),GSW @ DET,GSW,DET,"Tuesday, December 29",4,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000047/670/e8152179-9c20-f303-13d7-d473a7ce3998_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:5),GSW @ DET,GSW,DET,"Tuesday, December 29",4,https://videos.nba.com/nba/pbp/media/2020/12/29/0022000047/703/cd9c61fa-dc54-4f48-3833-738d7c706f01_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:1),POR @ GSW,POR,GSW,"Friday, January 1",1,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/59/7a48e8f4-bff5-3873-191d-01bb7859b7c3_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:2),POR @ GSW,POR,GSW,"Friday, January 1",1,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/139/6d54faba-d1ae-f742-3aa4-f690d1ab6003_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:3),POR @ GSW,POR,GSW,"Friday, January 1",1,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/152/47e7756a-3282-0387-a758-4bbb1118a57e_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:4),POR @ GSW,POR,GSW,"Friday, January 1",2,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/256/b7234fc8-c88f-36e3-fa64-ab7b5467e38c_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:5),POR @ GSW,POR,GSW,"Friday, January 1",3,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/381/1d0874c6-f5c8-e2ac-fc7c-11335d6d6605_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:6),POR @ GSW,POR,GSW,"Friday, January 1",3,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/490/8f977851-239f-b3ca-be29-1b13a510fa19_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:7),POR @ GSW,POR,GSW,"Friday, January 1",3,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/495/4fe529da-8797-0237-b0fc-2b9f11f4d7e5_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:8),POR @ GSW,POR,GSW,"Friday, January 1",3,https://videos.nba.com/nba/pbp/media/2021/01/01/0022000078/508/9e7054ec-2cae-39bd-9d71-9b38d6a21d8e_1280x720.mp4
2020-21,1,Stephen Curry,DREB,Curry REBOUND (Off:0 Def:1),POR @ GSW,POR,GSW,"Sunday, January 3",1,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000092/61/d214ed05-6a75-3e03-8450-01513d5808f9_1280x720.mp4
