,Unnamed: 0, ,PLAYER,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
0,0,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Def,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/97/f4b051fd-6bfa-582c-751e-8fa3f517c34e_1280x720.mp4
1,1,,Joel Embiid,Embiid REBOUND (Off:1 Def:2),Def,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/111/e467b763-d280-6ac5-ff0c-aee2d78f9926_1280x720.mp4
2,2,,Joel Embiid,Embiid REBOUND (Off:3 Def:3),Def,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/168/735aab89-7069-735e-e871-20ccb05b99fe_1280x720.mp4
3,3,,Joel Embiid,Embiid REBOUND (Off:3 Def:4),Def,PHI @ DET,PHI,DET,"Friday, November 10",2,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/307/3ee83f20-c2f9-a655-3bb4-74956b74b015_1280x720.mp4
4,4,,Joel Embiid,Embiid REBOUND (Off:4 Def:5),Def,PHI @ DET,PHI,DET,"Friday, November 10",2,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/324/6e67d0b6-0164-babe-3d94-7992109a6b4f_1280x720.mp4
5,5,,Joel Embiid,Embiid REBOUND (Off:4 Def:6),Def,PHI @ DET,PHI,DET,"Friday, November 10",2,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/343/2b4522f3-2366-0752-0e19-fa5d0664c7af_1280x720.mp4
6,6,,Joel Embiid,Embiid REBOUND (Off:5 Def:7),Def,PHI @ DET,PHI,DET,"Friday, November 10",3,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/395/f2f56c80-9a13-7f55-f7e6-dd1c0d22970c_1280x720.mp4
7,7,,Joel Embiid,Embiid REBOUND (Off:5 Def:8),Def,PHI @ DET,PHI,DET,"Friday, November 10",3,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/403/7c54f497-8533-5127-bc47-d82a4595e7fe_1280x720.mp4
8,8,,Joel Embiid,Embiid REBOUND (Off:5 Def:9),Def,PHI @ DET,PHI,DET,"Friday, November 10",4,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/632/f6161d84-d46a-8712-a48e-25df3dadf6aa_1280x720.mp4
9,9,,Joel Embiid,Embiid REBOUND (Off:0 Def:1),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",1,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/68/99471d20-6810-ef79-6a2d-d4affd889bb4_1280x720.mp4
10,10,,Joel Embiid,Embiid REBOUND (Off:1 Def:2),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",1,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/87/34e1eb5e-34c7-2ba5-83eb-a243c9a88587_1280x720.mp4
11,11,,Joel Embiid,Embiid REBOUND (Off:1 Def:3),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",1,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/101/c742555e-7054-9072-bd98-8352a8d190be_1280x720.mp4
12,12,,Joel Embiid,Embiid REBOUND (Off:1 Def:4),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",2,https://videos.nba.com/nba/static/missing.mp4
13,13,,Joel Embiid,Embiid REBOUND (Off:2 Def:5),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",2,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/330/14d30ea3-b8f5-85cb-a943-d7fbf00e7dc3_1280x720.mp4
14,14,,Joel Embiid,Embiid REBOUND (Off:2 Def:6),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",3,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/428/621d9188-54e1-9bde-0386-31710f79a217_1280x720.mp4
15,15,,Joel Embiid,Embiid REBOUND (Off:2 Def:7),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",3,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/532/1fa6d337-c42c-2811-75d0-ed534f610c5a_1280x720.mp4
16,16,,Joel Embiid,Embiid REBOUND (Off:2 Def:8),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",3,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/547/23d95a2d-a328-e725-35c4-00f1aab73342_1280x720.mp4
17,17,,Joel Embiid,Embiid REBOUND (Off:3 Def:9),Def,IND @ PHI,IND,PHI,"Tuesday, November 14",4,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/725/727e545a-4e15-db6e-2b51-85da8ce9539c_1280x720.mp4
18,18,,Joel Embiid,Embiid REBOUND (Off:0 Def:1),Def,PHI @ ATL,PHI,ATL,"Friday, November 17",1,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/9/b72530ad-5894-925a-70ce-8fd200a4ad5c_1280x720.mp4
19,19,,Joel Embiid,Embiid REBOUND (Off:0 Def:2),Def,PHI @ ATL,PHI,ATL,"Friday, November 17",1,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/65/7dc17b10-331c-4222-d485-701dd6af0e4a_1280x720.mp4
20,20,,Joel Embiid,Embiid REBOUND (Off:0 Def:3),Def,PHI @ ATL,PHI,ATL,"Friday, November 17",1,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/143/258eb72c-fa0f-b732-8b32-e3dc7b7b452e_1280x720.mp4
21,21,,Joel Embiid,Embiid REBOUND (Off:1 Def:4),Def,PHI @ ATL,PHI,ATL,"Friday, November 17",3,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/363/be25d10e-4bae-f319-6b9d-9f6b9f3ed3a6_1280x720.mp4
22,22,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Def,PHI @ ATL,PHI,ATL,"Friday, November 17",3,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/467/592cf725-aefa-3bfa-15b2-138ac9f5ad21_1280x720.mp4
23,23,,Joel Embiid,Embiid REBOUND (Off:0 Def:1),Def,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/8/6510df1f-98b6-cd25-7a5e-7164c5c6781a_1280x720.mp4
24,24,,Joel Embiid,Embiid REBOUND (Off:0 Def:2),Def,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/12/9bd6f1f4-46b7-d77d-ca85-1b2d02ab2a51_1280x720.mp4
25,25,,Joel Embiid,Embiid REBOUND (Off:0 Def:3),Def,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/15/ec953358-1d4b-38ad-4cf4-fc9144522336_1280x720.mp4
26,26,,Joel Embiid,Embiid REBOUND (Off:0 Def:4),Def,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/59/ae02da0c-ab27-5eeb-53a8-89b6c22c9903_1280x720.mp4
27,27,,Joel Embiid,Embiid REBOUND (Off:0 Def:5),Def,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/63/20bef1ed-1f2d-ca6b-9d6a-8e6039408373_1280x720.mp4
