, ,PLAYER,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
0,,Joel Embiid,Embiid REBOUND (Off:2 Def:2),Off,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/117/c8768fe5-43bb-f1aa-4222-75e37927af72_1280x720.mp4
1,,Joel Embiid,Embiid REBOUND (Off:3 Def:2),Off,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/static/missing.mp4
2,,Joel Embiid,Embiid REBOUND (Off:4 Def:4),Off,PHI @ DET,PHI,DET,"Friday, November 10",2,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/317/6e7f4498-f604-bd4e-c453-2861250aa467_1280x720.mp4
3,,Joel Embiid,Embiid REBOUND (Off:5 Def:6),Off,PHI @ DET,PHI,DET,"Friday, November 10",2,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/357/d282f2e8-c873-579c-2f6b-71292fff7532_1280x720.mp4
4,,Joel Embiid,Embiid REBOUND (Off:1 Def:0),Off,PHI @ DET,PHI,DET,"Friday, November 10",1,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/365/cc26defa-27ea-d5f7-4cb7-578f66175004_1280x720.mp4
5,,Joel Embiid,Embiid REBOUND (Off:6 Def:9),Off,PHI @ DET,PHI,DET,"Friday, November 10",4,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/657/e28ff795-cfea-1add-863f-ed908bacc6ca_1280x720.mp4
6,,Joel Embiid,Embiid REBOUND (Off:7 Def:9),Off,PHI @ DET,PHI,DET,"Friday, November 10",4,https://videos.nba.com/nba/pbp/media/2023/11/10/0022300008/661/54a875b8-ca60-a1a8-9ed2-1954af6469c5_1280x720.mp4
7,,Joel Embiid,Embiid REBOUND (Off:1 Def:1),Off,IND @ PHI,IND,PHI,"Tuesday, November 14",1,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/82/03156050-852b-a53b-2a1d-3e46ff953a54_1280x720.mp4
8,,Joel Embiid,Embiid REBOUND (Off:2 Def:4),Off,IND @ PHI,IND,PHI,"Tuesday, November 14",2,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/328/e4908604-a443-cbc2-70df-a732180d62f7_1280x720.mp4
9,,Joel Embiid,Embiid REBOUND (Off:3 Def:8),Off,IND @ PHI,IND,PHI,"Tuesday, November 14",4,https://videos.nba.com/nba/pbp/media/2023/11/14/0022300019/695/1c660a2c-9ecb-471f-e6e9-d2628254799d_1280x720.mp4
10,,Joel Embiid,Embiid REBOUND (Off:1 Def:3),Off,PHI @ ATL,PHI,ATL,"Friday, November 17",3,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/430/53f6ed42-5059-4ad6-6689-f21500329764_1280x720.mp4
11,,Joel Embiid,Embiid REBOUND (Off:2 Def:5),Off,PHI @ ATL,PHI,ATL,"Friday, November 17",3,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300029/487/5fff1116-43fa-14d8-e46d-870304c48ebf_1280x720.mp4
12,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,CLE @ PHI,CLE,PHI,"Tuesday, November 21",1,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/115/b9ea4380-b261-c798-f7c1-abc4a96b93d5_1280x720.mp4
13,,Joel Embiid,Embiid REBOUND (Off:2 Def:6),Off,CLE @ PHI,CLE,PHI,"Tuesday, November 21",3,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/463/072936af-56b4-35c0-d17b-3524a6a14b35_1280x720.mp4
14,,Joel Embiid,Embiid REBOUND (Off:3 Def:10),Off,CLE @ PHI,CLE,PHI,"Tuesday, November 21",5,https://videos.nba.com/nba/pbp/media/2023/11/21/0022300040/757/c7cc1600-bdda-5fce-b155-8acec8d34c2b_1280x720.mp4
15,,Joel Embiid,Embiid REBOUND (Off:1 Def:5),Off,POR @ PHI,POR,PHI,"Sunday, October 29",2,https://videos.nba.com/nba/pbp/media/2023/10/29/0022300098/300/ba756b94-c3fd-78aa-dbf7-9a8683c37df2_1280x720.mp4
